,Unnamed: 0,Name,Distance,Mass,Radius,Gravity
0,0,Sun,0.000015813,1.989e+30,695700000.0,190694695989.6507
1,1,Sirius,0008.6,4.176900000000001e+30,1189647000.0,234186468759.22012
3,3,Alpha Centauri,0004.4,2.1879e+30,834840000.0,174803471323.8465
4,4,Arcturus,0037,2.1879e+30,18088200000.0,8067852522.639069
5,5,Vega,0025,4.3758e+30,1878390000.0,155380863398.97464
6,6,Capella,0043,5.1714e+30,8348400000.0,41317184131.091
8,8,Procyon,0011.4,2.9835000000000004e+30,1321830000.0,150548444202.3558
12,12,Altair,0017,3.5802e+30,1252260000.0,190694695989.6507
14,14,Aldebaran,0065,2.9835000000000004e+30,30610800000.0,6500955545.101728
17,17,Pollux,0034,3.7791e+30,6122160000.000001,41172718452.31094
18,18,Fomalhaut,0025,3.7791e+30,1252260000.0,201288845766.8535
21,21,Regulus,0077,7.558199999999999e+30,2156670000.0,233754788632.47504
24,24,Castor,0052,5.569200000000001e+30,1669680000.0,222477145321.25912
25,25,Gacrux,0088,2.9835000000000004e+30,58438800000.0,3405262428.38662
32,32,Alioth,0081,5.768100000000001e+30,2921940000.0,131670147230.9493
41,41,Menkalinan,081,4.75371e+30,1927089000.0,164534412785.2943
45,45,Alsephina[2],0080,4.7736e+30,2017530000.0,157816300129.3661
53,53,Tau Ceti,011.9,1.557387e+30,621260100.0,167204867816.2335
54,54,Delta Pavonis,019.92,1.9710989999999998e+30,848754000.0,154900363709.6261
55,55,Ran,010.48,1.6309799999999997e+30,514818000.0,211310338799.34265
60,60,Titawin,044.25,2.52603e+30,1029636000.0,163636664801.93002
64,64,61 Cygni,011.41,1.3923000000000002e+30,462640500.0,200731258936.47443
68,68,54 Piscium,036.1,1.5116400000000002e+30,653958000.0,154178690374.6112
71,71,Lacaille 8760,012.87,1.1934e+30,354807000.0,224346701164.2949
78,78,Barnard's Star,05.98,2.7846000000000004e+29,139140000.0,133486287192.7555
80,80,Proxima Centauri,04.25,2.3868e+29,104355000.0,152555756791.72055
87,87,Gliese 1214,047.5,3.1824e+29,146097000.0,145291196944.4958
